Year,Edition,Card Number In set,Name,Team,Points,OnBase,Speed,Position,Handedness,Icon,Pop Up,Strikeout,Ground Ball,Fly Ball,Walk,Single,Single Plus,Double,Triple,Home Run
'05,CC,174,**Harmon Killebrew,Twins,730,13,12,3B+3,R,V HR S,-,1-2,3-,4-6,7-12,13-14,-,15-16,-,17+
'03,CC,173,**Rod Carew,Twins,720,14,22,1B+1,L,V S,-,1-,2-4,5-,6-7,8-16,17-18,19-,20-26,27+
'04,UL,104,**Alex Rodriguez,Yankees,650,13,14,"SS+5, 3B+1",R,V HR G S,-,1-2,3-4,5-6,7-11,12-14,15-,16-17,-,18+
'02,SS,114,*Roberto Alomar '93,Blue Jays,560,14,23,2B+6,S,,-,1-2,3-5,6-7,8-12,13-14,15-,16-19,-,20+
'04,UL,42,*Albert Pujols,Cardinals,590,13,11,1B+1,R,,-,1-0,2-4,5-,6-12,13-16,-,17-,-,18+
'02,UL,1,**Jason Giambi,Yankees,530,14,12,1B+0,L,,-,1-2,3-4,5-6,7-12,13-16,-,17-18,-,19+
'02,UL,240,Jason Giambi,Athletics,530,14,12,1B+0,L,,-,1-2,3-4,5-6,7-12,13-16,-,17-18,-,19+
'05,CC,124,*Rod Carew,Angels,720,14,20,"2B+3, 1B+0",L,RY S V,-,1-,2-4,5-,6-7,8-16,17-18,19-,20-26,27+
'02,ASG,34,Todd Helton,Rockies,660,13,14,1B+1,R,,-,1-3,4-,5-6,7-11,12-14,15-,16-17,18-,19+
'04,UL,333,Alex Rodriguez,Rangers,620,13,16,SS+4,R,V HR G S,-,1-2,3-4,5-6,7-11,12-15,16-,17-,-,18+
'03,UL,185,Vladimir Guerrero,Expos,660,13,21,LF-RF+2,R,S,-,1-,2-3,4-6,7-10,11-14,15-16,17-18,-,19+
'05,UL,74,**Brad Wilkerson,Nationals,520,13,15,"OF+1, 1B+1",L,,-,1-2,3-4,5-6,7-10,11-15,16-,17-,18-,19+
'02,SS,124,*Ellis Burks '96,Rockies,500,13,18,CF+3,R,,-,1-3,4-6,7-,8-11,12-14,-,15-17,18-,19+
'02,SS,93,*Alex Rodriguez '96,Mariners,620,13,17,SS+4,R,,-,1-4,5-,6-,7-11,12-14,15-,16-17,18-,19+
'03,UL,131,**Jim Thome,Phillies,620,13,10,1B+0,L,HR,-,1-2,3-,4-5,6-12,13-16,-,17-,-,18+
'02,UL,120,Larry Walker,Rockies,650,13,16,LF-RF+1,L,,-,1-2,3-5,-,6-10,11-15,-,16-17,-,18+
'03,SS,115,*John Olerud,Blue Jays,740,14,10,1B+0,L,,-,1-,2-3,4-5,6-10,11-16,-,17-19,-,20+
'04,UL,100,*Jim Thome,Phillies,440,13,11,1B+1,L,,-,1-4,5-,6-,7-13,14-15,-,16-17,-,18+
'02,ASG,22,Mike Sweeney,Royals,470,13,14,1B+0,R,,-,-,1-3,4-6,7-9,10-15,-,16-18,-,19+
'02,ASG,8,Jason Giambi,Yankees,540,13,12,1B+0,L,,-,1-3,4-,5-6,7-12,13-16,-,17-,-,18+
'04,UL,54,*Alex Rodriguez,Yankees,540,13,14,3B+3,R,,-,1-,2-3,4-5,6-10,11-16,-,17-18,-,19+
'05,UL,311,Albert Pujols,Cardinals,640,13,11,1B+1,R,HR S,-,1-,2-4,5-,6-10,11-16,-,17-18,-,19+
'05,CC,172,**Reggie Jackson,Yankees,700,13,13,DH,L,HR S,-,1-2,3-,4-6,7-10,11-14,15-,16-,-,17+
'02,UL,47,*Cliff Floyd,Marlins,520,13,18,LF-RF+1,L,,-,1-4,5-,6-7,8-9,10-14,15-,16-17,-,18+
'05,UL,127,**Adrian Beltre,Mariners,740,13,12,3B+2,R,,-,1-,2-4,5-7,8-9,10-15,-,16-17,-,18+
'02,UL,115,Todd Helton,Rockies,580,12,14,1B+1,L,,-,1-2,3-,4-5,6-10,11-14,-,15-17,-,18+
'02,SS,110,*Edgar Martinez '95,Mariners,660,15,12,3B+0,R,,-,1-4,5-6,7-,8-12,13-15,-,16-19,-,20+
'04,CC,123,*Eddie Mathews,Braves,600,13,13,3B+2,L,HR,-,1-3,4-,5-6,7-11,12-16,-,17-,-,18+
'02,SS,119,*Kenny Lofton '93,Indians,410,13,25,CF+4,L,,-,1-3,4-5,6-7,8-11,12-,13-16,17-,18-24,25+
'02,SS,113,*Sammy Sosa '98,Cubs,610,13,15,LF-RF+1,R,,-,1-6,-,7-,8-12,13-15,-,16-,-,17+
'02,SS,105,*Chipper Jones '98,Braves,500,13,15,3B+2,S,,-,1-3,4-5,6-,7-12,13-14,15-,16-17,18-,19+
'04,CC,117,*Ralph Kiner,Pirates,530,13,12,LF-RF+1,R,HR S,-,1-3,4-,5-6,7-11,12-15,-,16-,17-,18+
'02,SS,108,*Mike Piazza '97,Dodgers,500,13,16,C+6,R,,-,1-2,3-,4-7,8-11,12-15,-,16-17,-,18+
'03,UL,105,Jim Thome,Indians,570,13,8,1B+0,L,HR,-,1-2,3-4,5-6,7-12,13-16,-,17-,-,18+
'04,UL,113,Todd Helton,Rockies,630,14,10,1B+1,L,S,-,1-,2-3,4-6,7-11,12-16,-,17-19,-,20+
'02,SS,123,*Robin Ventura '96,White Sox,490,13,11,3B+4,R,,-,1-2,3-4,5-7,8-11,12-14,-,15-18,-,19+
'05,UL,26,**J.D. Drew,Dodgers,640,14,13,LF-RF+1,L,,-,1-2,3-4,5-6,7-12,13-15,16-17,18-,-,19+
'05,UL,23,J.D. Drew,Braves,580,14,13,LF-RF+1,L,,-,1-2,3-4,5-6,7-12,13-15,16-17,18-,-,19+
'04,UL,77,*Jack Wilson,Pirates,600,13,16,"SS+2, 2B+2",R,,-,1-,2-3,4-6,7-,8-13,14-16,17-,18-19,20+
'04,UL,52,*Jason Giambi,Yankees,510,14,8,1B+0,L,,-,1-,2-4,5-6,7-13,14-17,-,18-,-,19+
'04,UL,74,*Mike Lowell,Marlins,610,13,16,3B+3,R,,-,1-,2-3,4-6,7-10,11-16,-,17-18,-,19+
'05,CC,170,**Robin Yount,Brewers,540,12,19,SS+5,R,G S V,-,1-,2-4,5-,6-9,10-13,14-15,16-17,18-19,20+
'03,CC,123,*Harmon Killebrew,Twins,710,12,11,1B+1,R,HR S V,-,1-2,3-,4-6,7-11,12-14,-,15-16,-,17+
'02,ASG,26,Lance Berkman,Astros,650,13,14,LF-RF+1,S,,-,1-2,3-4,5-6,7-12,13-15,-,16-17,-,18+
'04,UL,210,Vladimir Guerrero,Expos,520,13,16,LF-RF+1,R,,-,1-,2-4,5-6,7-9,10-15,16-,17-,18-,19+
'04,UL,159,Carlos Beltran,Royals,630,12,23,CF+3,S,,-,1-,2-4,5-6,7-10,11-13,14-16,17-,18-,19+
'03,RS,145,**Nomar Garciaparra '97,Red Sox,680,12,17,SS+4,R,RY S,-,1-,2-4,5-,6-8,9-14,15-,16-17,18-,19+
'04,UL,121,**Al Kaline,Tigers,600,13,11,LF-RF+2,R,G S,-,1-,2-4,5-6,7-9,10-16,-,17-18,-,19+
'05,UL,161,**Vinny Castilla,Nationals,500,13,10,3B+3,R,,-,1-,2-3,4-6,7-11,12-15,-,16-18,-,19+
'03,RS,142,**Ichiro Suzuki '01,Mariners,490,13,25,LF-RF+2,L,G RY S,-,1-,2-5,6-,7-8,9-15,16-17,18-,19-20,21+
'04,UL,76,*Adrian Beltre,Dodgers,540,13,13,3B+3,R,,-,1-,2-4,5-7,8-,9-16,-,17-18,-,19+
'03,P,27,Mike Sweeney,Royals,520,13,12,1B+0,R,,-,1-,2-4,5-6,7-10,11-16,-,17-18,-,19+
'03,UL,153,Mike Sweeney,Royals,520,13,12,1B+0,R,,-,1-,2-4,5-6,7-10,11-16,-,17-18,-,19+
'03,SS,114,*Ivan Rodriguez,Rangers,730,12,19,C+11,R,G S V,-,1-,2-4,5-6,7-8,9-14,15-16,17-18,-,19+
'04,UL,123,**Willie Stargell,Pirates,620,12,10,"1B+0, OF+0",L,V HR S,-,1-3,4-,5-6,7-,8-14,-,15-17,-,18+
'03,UL,139,Lance Berkman,Astros,680,13,12,OF+0,S,,-,1-2,3-4,5-6,7-11,12-15,-,16-17,-,18+
'04,UL,115,*Manny Ramirez,Red Sox,610,14,11,LF-RF+0,R,,-,1-2,3-,4-6,7-12,13-16,-,17-18,-,19+
'03,UL,110,Todd Helton,Rockies,510,13,11,1B+1,L,"S,G",-,1-2,3-5,6-,7-11,12-16,-,17-18,-,19+
'02,SS,103,*Barry Larkin '95,Reds,490,13,20,SS+6,R,,-,1-2,3-5,6-7,8-11,12-14,15-16,17-18,19-,20+
'03,UL,104,*Gary Sheffield,Braves,720,13,17,LF-RF+1,R,,-,1-,2-4,5-6,7-10,11-14,15-16,17-18,-,19+
'03,UL,116,Larry Walker,Rockies,550,13,11,LF-RF+2,L,G,-,1-,2-4,5-6,7-10,11-16,-,17-18,-,19+
'04,UL,57,*Todd Helton,Rockies,540,14,11,1B+1,L,,-,1-,2-3,4-6,7-12,13-17,-,18-19,-,20+
'05,P,4,Carlos Delgado,Blue Jays,570,13,10,1B+1,L,HR S,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'04,UL,339,Carlos Delgado,Blue Jays,570,13,10,1B+1,L,HR S,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'03,UL,103,*Carlos Delgado,Blue Jays,700,13,10,1B+1,L,,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'05,UL,108,Todd Helton,Rockies,500,14,10,1B+1,L,G,-,1-,2-3,4-6,7-12,13-17,-,18-19,-,20+
'04,UL,70,*Alfonso Soriano,Rangers,590,12,20,2B+3,R,,-,1-,2-3,4-5,6-7,8-13,14-16,17-,18-19,20+
'02,UL,19,Luis Gonzalez,Diamondbacks,600,12,14,LF-RF+1,L,,-,1-,2-3,4-5,6-10,11-14,-,15-16,-,17+
'03,UL,274,Jim Edmonds,Cardinals,500,13,10,CF+3,L,G,-,1-3,4-,5-6,7-11,12-16,-,17-18,-,19+
'02,UL,71,Sammy Sosa,Cubs,580,12,13,LF-RF+1,R,,-,1-4,-,5-,6-10,11-14,-,15-16,-,17+
'04,UL,313,Scott Rolen,Cardinals,570,13,10,3B+3,R,G,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'04,UL,32,Gary Sheffield,Braves,510,13,16,LF-RF+1,R,S,-,1-,2-4,5-6,7-10,11-15,16-,17-18,-,19+
'02,ASG,47,Sammy Sosa,Cubs,660,12,13,LF-RF+1,R,,-,1-3,-,4-5,6-11,12-14,-,15-16,-,17+
'05,UL,141,Lance Berkman,Astros,470,14,12,LF-RF+0,S,,-,1-2,3-4,5-6,7-12,13-17,-,18-,-,19+
'03,UL,203,Jason Giambi,Yankees,530,13,9,1B+0,L,S,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'04,UL,79,*Lyle Overbay,Brewers,400,12,11,1B+1,L,,-,1-,2-4,5-6,7-8,9-14,-,15-18,-,19+
'02,UL,308,J.D. Drew,Cardinals,540,12,20,LF-RF+1,L,,-,1-2,3-4,5-,6-10,11-15,16-,17-,-,18+
'02,UL,146,Lance Berkman,Astros,520,13,14,LF-RF+1,S,,-,1-3,4-5,6-,7-11,12-15,-,16-18,-,19+
'02,UL,339,Alex Rodriguez,Rangers,540,12,16,SS+3,R,,-,1-3,4-5,6-,7-10,11-14,15-,16-17,-,18+
'02,ASG,19,Alex Rodriguez,Rangers,600,12,16,SS+3,R,,-,1-3,4-5,6-,7-10,11-14,15-,16-17,-,18+
'03,UL,294,Alex Rodriguez,Rangers,710,12,12,SS+5,R,"HR,S,G",-,1-2,3-4,5-6,7-10,11-16,-,17-,-,18+
'04,UL,109,**Craig Biggio,Astros,420,13,24,2B+4,R,SB S,-,1-2,3-5,6-7,8-10,11-14,15-17,18-19,-,20+
'02,ASG,31,Luis Gonzalez,Diamondbacks,630,12,14,LF-RF+1,L,,-,1-,2-3,4-5,6-10,11-14,-,15-17,-,18+
'04,UL,105,**Javy Lopez,Orioles,680,12,10,C+7,R,S,-,1-2,3-4,5-6,7-8,9-15,-,16-17,-,18+
'04,UL,347,Vernon Wells,Blue Jays,610,12,12,CF+2,R,S,-,1-,2-3,4-5,6-7,8-15,-,16-18,-,19+
'03,UL,118,**Jeff Bagwell,Astros,420,13,13,1B+1,R,,-,1-2,3-4,5-7,8-12,13-16,-,17-18,-,19+
'03,UL,102,*Raul Mondesi,Yankees,630,12,22,LF-RF+1,R,,-,1-2,3-,4-6,7-10,11-13,14-15,16-17,18-,19+
'04,UL,29,Javy Lopez,Braves,680,12,10,C+7,R,S,-,1-2,3-4,5-6,7-9,10-15,-,16-17,-,18+
'02,UL,30,Chipper Jones,Braves,550,12,15,3B+1,S,,-,1-,2-4,5-,6-9,10-15,-,16-17,-,18+
'02,SS,122,*Mo Vaughn '95,Red Sox,410,12,12,1B+1,L,,-,1-5,-,6-7,8-11,12-15,-,16-17,-,18+
'05,UL,48,**Carlos Delgado,Marlins,390,12,10,1B+1,L,,-,1-2,3-4,5-6,7-11,12-16,-,17-,-,18+
'04,UL,112,*Vladimir Guerrero,Angels,540,13,14,LF-RF+1,R,,-,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
'04,P,47,Todd Pratt,Phillies,330,13,12,"C+4, 1B+0",R,,-,1-,2-5,6-,7-11,12-15,-,16-19,-,20+
'04,UL,60,*J.D. Drew,Braves,480,13,16,LF-RF+2,L,,-,1-2,3-4,5-6,7-12,13-16,-,17-18,19-,20+
'04,UL,117,**Luis Aparicio,White Sox,420,11,25,SS+6,R,RY G SB S,-,1-,2-5,6-,7-8,9-13,14-16,17-,18-21,22+
'05,UL,306,Jim Edmonds,Cardinals,480,13,12,CF+3,L,G S,-,1-3,4-5,6-7,8-12,13-16,-,17-18,-,19+
'01,P,450,Carlos Delgado,Blue Jays,610,11,C,1B+0,L,,-,1-,2-3,-,4-10,11-14,-,15-17,-,18-20
'01,1st,450,Carlos Delgado,Blue Jays,610,11,C,1B+0,L,,-,1-,2-3,-,4-10,11-14,-,15-17,-,18-20
'01,UL,450,Carlos Delgado,Blue Jays,610,11,C,1B+0,L,,-,1-,2-3,-,4-10,11-14,-,15-17,-,18-20
'03,UL,89,*Melvin Mora,Orioles,380,13,13,"OF+1, SS+3",R,,-,1-2,3-4,5-6,7-10,11-15,16-,17-18,19-,20+
'01,1st,310,Jason Giambi,Athletics,570,11,C,1B+0,L,,-,1-,-,2-,3-11,12-16,-,17-,-,18-20
'01,UL,310,Jason Giambi,Athletics,570,11,C,1B+0,L,,-,1-,-,2-,3-11,12-16,-,17-,-,18-20
'01,P,310,Jason Giambi,Athletics,570,11,C,1B+0,L,,-,1-,-,2-,3-11,12-16,-,17-,-,18-20
'03,UL,97,*Jacque Jones,Twins,520,12,18,LF-RF+2,L,,-,1-2,3-5,6-,7-,8-15,16-,17-18,19-,20+
'05,UL,7,Vladimir Guerrero,Angels,640,12,15,LF-RF+2,R,V S,-,1-,2-3,4-6,7-9,10-15,16-,17-18,-,19+
'04,UL,101,Milton Bradley,Indians,370,13,15,CF+2,S,,-,1-2,3-5,6-,7-11,12-15,16-17,18-,19-,20+
'02,ASG,29,Adam Dunn,Reds,470,12,15,LF-RF+1,L,,-,1-6,-,7-,8-11,12-16,-,14-18,-,19+
'04,UL,75,*Juan Uribe,White Sox,480,12,16,SS+4,R,,-,1-2,3-4,5-6,7-8,9-16,-,17-18,-,19+
'02,SS,95,*Fred McGriff '92,Padres,340,12,14,1B+0,L,,-,1-5,6-,7-,8-13,14-15,-,16-17,-,18+
'04,UL,262,Jim Thome,Phillies,440,12,8,1B+1,L,HR,-,1-4,5-,6-,7-12,13-16,-,17-,-,18+
'05,UL,164,Adrian Beltre,Dodgers,660,12,12,3B+2,R,HR S,-,1-,2-4,5-7,8-9,10-15,-,16-17,-,18+
'02,UL,109,Jim Thome,Indians,360,12,10,1B+0,L,,-,1-6,-,-,7-12,13-16,-,17-,-,18+
'04,UL,72,*Sean Casey,Reds,490,13,13,1B+1,L,,-,1-,2-5,6-7,8-9,10-16,-,17-19,-,20+
'04,UL,65,*Scott Rolen,Cardinals,560,12,11,3B+3,R,,-,1-2,3-4,5-7,8-10,11-16,-,17-,-,18+
'04,UL,111,**Nomar Garciaparra,Red Sox,590,12,15,SS+2,R,,-,1-,2-4,5-6,7-8,9-14,15-,16-17,18-,19+
'05,CC,169,**Yogi Berra,Yankees,490,12,11,C+9,L,S,-,-,1-2,3-6,7-8,9-16,-,17-18,-,19+
'03,UL,99,*Carl Everett,Rangers,550,13,12,OF+1,S,,-,1-,2-3,4-7,8-11,12-16,-,17-,18-,19+
'03,UL,95,*Eric Byrnes,Athletics,470,13,14,OF+1,R,R,-,1-,2-4,5-6,7-10,11-15,16-,17-18,19-,20+
'04,UL,21,*Carlos Guillen,Tigers,410,13,16,SS+4,S,,-,1-2,3-5,6-7,8-12,13-15,16-,17-18,19-,20+
'03,CC,121,*Robin Yount,Brewers,540,12,16,"CF+2, SS+4",R,G S V,-,1-,2-4,5-,6-9,10-15,16-,17-18,19-,20+
'05,UL,291,J.T. Snow,Giants,360,13,10,1B+1,L,,-,1-2,3-4,5-6,7-11,12-16,-,17-19,-,20+
'04,UL,61,*Melvin Mora,Orioles,540,14,13,3B+1,R,,-,1-2,3-5,6-7,8-10,11-17,-,18-19,-,20+
'03,CC,117,*Yogi Berra,Yankees,550,12,11,"C+8, OF+0",L,S V,-,-,1-2,3-6,7-8,9-16,-,17-18,-,19+
'01,UL,145,Todd Helton,Rockies,560,10,B,1B+1,L,,-,-,1-,2-,3-7,8-13,-,14-17,-,18-20
'01,1st,145,Todd Helton,Rockies,560,10,B,1B+1,L,,-,-,1-,2-,3-7,8-13,-,14-17,-,18-20
'04,UL,44,*Ichiro ,Mariners,380,12,19,LF-RF+2,L,,-,1-,2-5,6-,7-9,10-14,15-17,18-,19-,20+
'05,UL,242,Bobby Abreu,Phillies,440,13,21,LF-RF+1,L,S,-,1-2,3-4,5-6,7-12,13-,14-17,18-19,-,20+
'02,UL,7,**Moises Alou,Cubs,380,12,13,LF-RF+1,R,,-,-,1-4,5-6,7-9,10-16,-,17-,-,18+
'04,UL,101,**Kazuo Matsui,Mets,500,12,18,SS+4,S,R,-,1-,2-3,4-6,7-9,10-14,15-17,18-19,20-21,22+
'04,UL,92,**Jason Giambi,Yankees,300,13,11,1B+0,L,,-,1-2,3-4,5-7,8-14,15-16,-,17-18,-,19+
'03,UL,75,Sammy Sosa,Cubs,490,13,9,LF-RF+1,R,HR,-,1-3,4-5,6-7,8-12,13-17,-,-,-,18+
'03,UL,130,**Hideki Matsui,Yankees,600,13,11,LF-RF+1,R,R,-,1-3,4-,5-6,7-12,13-16,-,17-18,-,19+
'03,UL,237,Brian Giles,Pirates,460,13,14,LF-RF+0,L,,-,1-,2-3,4-6,7-13,14-15,16-,17-18,-,19+
'03,UL,93,*Andres Galarraga,Giants,400,12,10,1B+0,R,,-,1-2,3-4,5-6,7-9,10-16,-,17-18,-,19+
'02,UL,12,**Gary Sheffield,Braves,420,12,15,LF-RF+1,R,,-,1-,2-3,4-6,7-11,12-16,-,17-,-,18+
'02,UL,176,Gary Sheffield,Dodgers,420,12,15,LF-RF+1,R,,-,1-,2-4,5-6,7-11,12-16,-,17-,-,18+
'05,UL,302,Ichiro Suzuki,Mariners,450,13,21,LF-RF+2,L,SB G,-,1-,2-5,6-,7-8,9-16,17-19,20-,-,21+
'04,UL,315,Edgar Renteria,Cardinals,530,12,21,SS+5,R,G S,-,1-,2-4,5-6,7-9,10-14,15-17,18-19,-,20+
'04,UL,54,Manny Ramirez,Red Sox,570,13,10,LF-RF+0,R,S,-,1-,2-3,4-6,7-11,12-16,-,17-18,-,19+
'03,UL,95,**Bobby Kielty,Twins,310,13,10,"LF-RF+2, CF+1",S,R,-,1-2,3-4,5-7,8-12,13-17,-,18-,-,19+
'04,UL,56,*Ken Harvey,Royals,440,13,12,"1B+1, 2B+2",R,R,-,1-,2-4,5-6,7-9,10-18,-,19-,-,20+
'04,UL,97,*Vinny Castilla,Rockies,520,12,8,3B+3,R,,-,1-2,3-5,6-7,8-10,11-14,-,15-18,-,19+
'02,UL,294,Bret Boone,Mariners,440,12,14,2B+5,R,,-,1-2,3-5,6-7,8-9,10-16,-,17-18,-,19+
'02,ASG,12,Ichiro Suzuki,Mariners,400,13,22,LF-RF+2,L,,-,-,1-6,7-,8-9,10-16,17-18,19-,20-23,24+
'04,UL,107,**Vladimir Guerrero,Expos,610,12,14,LF-RF+1,R,,-,1-,2-4,5-6,7-8,9-14,15-16,17-18,-,19+
'04,UL,100,**Vladimir Guerrero,Angels,500,13,12,LF-RF+1,R,,-,1-,2-4,5-6,7-11,12-17,-,18-,-,19+
'02,UL,82,**Juan Gonzalez,Rangers,360,12,12,LF-RF+1,R,,-,1-2,3-5,6-7,8-9,10-15,-,16-17,-,18+
'02,UL,105,Juan Gonzalez,Indians,380,12,12,LF-RF+1,R,,-,1-2,3-4,5-7,8-9,10-15,-,16-17,-,18+
'02,UL,317,Albert Pujols,Cardinals,410,12,12,"3B+2, LF-RF+1",R,,-,1-,2-4,5-6,7-10,11-15,-,16-18,-,19+
'01,1st,39,*Alex Rodriguez,Rangers,640,10,B,SS+4,R,,-,1-,2-,-,3-9,10-13,14-,15-16,-,17-20
'02,UL,145,Jeff Bagwell,Astros,410,12,16,1B+1,R,,-,1-3,4-5,6-,7-12,13-16,-,17-18,-,19+
'05,UL,96,Travis Hafner,Indians,510,13,10,DH,L,,-,1-2,3-4,5-7,8-11,12-15,-,16-18,-,19+
'02,UL,156,Carlos Beltran,Royals,470,11,22,"CF+3, LF-RF+2",S,,-,1-2,3-4,5-6,7-9,10-15,16-,17-,18-,19+
'03,P,31,Manny Ramirez,Red Sox,490,13,8,LF-RF+0,R,S,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'03,UL,59,Manny Ramirez,Red Sox,490,13,8,LF-RF+0,R,S,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
'02,UL,279,Phil Nevin,Padres,360,12,12,3B+2,R,,-,1-5,6-,7-,8-11,12-16,-,17-,-,18+
'02,UL,250,Bobby Abreu,Phillies,450,12,18,LF-RF+1,L,,-,1-3,4-5,6-,7-11,12-14,15-,16-18,-,19+
'02,UL,98,Roberto Alomar,Indians,520,12,21,2B+2,S,,-,-,1-3,4-5,6-9,10-15,16-,17-18,19-,20+
'04,UL,69,*Ronnie Belliard,Indians,490,13,16,2B+3,R,,-,1-,2-4,5-,6-9,10-16,-,17-20,-,21+
'04,UL,108,*Carl Crawford,Devil Rays,470,11,22,LF-RF+2,L,,-,1-,2-4,5-6,7-9,10-13,14-15,16-17,18-19,20+
'03,UL,210,Alfonso Soriano,Yankees,710,11,23,2B+1,R,"S,SB",-,1-2,3-4,5-6,7-,8-11,12-14,15-17,-,18+
'03,CC,116,*Larry Doby,Indians,500,12,11,LF-RF+2,L,S,-,1-,2-4,5-6,7-10,11-16,-,17-18,-,19+
'01,1st,409,Mark McGwire,Cardinals,580,10,C,1B+0,R,,-,1-2,-,-,3-12,13-14,-,15-,-,16-20
'01,UL,409,Mark McGwire,Cardinals,580,10,C,1B+0,R,,-,1-2,-,-,3-12,13-14,-,15-,-,16-20
'03,UL,184,Cliff Floyd,Red Sox,480,12,14,LF-RF+1,L,,-,1-2,3-4,5-6,7-10,11-14,15-,16-18,-,19+
'02,ASG,14,Paul Konerko,White Sox,350,11,11,1B+0,R,,-,1-,2-4,5-6,7-9,10-14,-,15-17,-,18+
'02,UL,338,Rafael Palmeiro,Rangers,300,12,10,1B+0,L,,-,1-,2-3,4-7,8-13,14-16,-,17-,-,18+
'02,UL,54,*Rafael Palmeiro,Rangers,300,12,10,1B+0,L,,-,1-2,3-,4-7,8-13,14-16,-,17-,-,18+
'04,UL,55,*Chone Figgins,Angels,440,13,22,"CF+1, SS+3",S,,-,1-2,3-4,5-7,8-11,12-15,16-17,18-,19-20,21+
'01,1st,186,Jeff Bagwell,Astros,560,10,B,1B+0,R,,-,1-2,-,3-,4-10,11-14,-,15-16,-,17-20
'01,UL,186,Jeff Bagwell,Astros,560,10,B,1B+0,R,,-,1-2,-,3-,4-10,11-14,-,15-16,-,17-20
'02,UL,61,**Ryan Klesko,Padres,410,12,19,1B+0,L,,-,1-2,3-4,5-7,8-12,13-15,16-,17-18,-,19+
'05,CC,168,**Larry Doby,Indians,480,12,13,LF-RF+1,L,HR S,-,1-,2-4,5-6,7-9,10-15,-,16-18,-,19+
'02,UL,281,Rich Aurilia,Giants,450,11,14,SS+4,R,,-,1-,2-3,4-6,7-8,9-15,-,16-17,-,18+
'02,UL,23,**Roberto Alomar,Mets,510,12,21,2B+2,S,,-,-,1-3,4-5,6-10,11-15,16-,17-18,19-,20+
'03,UL,129,**Rocco Baldelli,Devil Rays,520,12,13,CF+1,R,R,-,1-,2-3,4-5,6-8,9-15,-,16-18,19-,20+
'03,UL,272,Ichiro Suzuki,Mariners,300,12,19,LF-RF+2,L,G,-,1-,2-5,6-7,8-10,11-13,14-17,18-,19-,20+
